t	R	z	phi	vR	vz	vphi	E	Lz
0	0.35	0	0	0	1.42869	0.00285714	-0.05	0.001
6.25e-06	0.35	8.92929e-06	5.10204e-08	-2.68396e-06	1.42869	0.00285714	-0.05	0.001
199.591	0.586276	-1.40828e-06	3.13992	-0.907071	-0.994793	0.00170568	-0.05	0.001
310.121	19.6133	6.81706e-06	-0.00220026	-0.0261172	0.0344982	5.09857e-05	-0.05	0.001
399.843	0.603417	-8.32884e-06	3.13888	0.927472	-0.966748	0.00165723	-0.05	0.001
599.414	0.347881	2.0845e-06	-0.00436291	0.0291589	1.42902	0.00287455	-0.05	0.001
799.037	0.560655	-5.12721e-06	3.13549	-0.880021	-1.03159	0.00178363	-0.05	0.001
937.517	17.8523	8.45274e-06	-0.00666333	-0.102381	0.0376418	5.60152e-05	-0.05	0.001
999.294	0.62834	-7.13191e-06	3.13444	0.958954	-0.921757	0.00159149	-0.05	0.001
1198.83	0.340308	3.74643e-06	-0.00880843	0.0835502	1.42913	0.00293852	-0.05	0.001
1398.52	0.509592	-4.01398e-06	3.13084	-0.817886	-1.10519	0.00196235	-0.05	0.001
1575.26	11.1435	4.93765e-06	-0.0113789	-0.274724	0.0588591	8.97385e-05	-0.05	0.001
1598.82	0.700549	-3.90981e-06	3.12976	1.01809	-0.811781	0.00142745	-0.05	0.001
1798.27	0.326513	2.49363e-06	-0.0134633	0.204659	1.42092	0.00306266	-0.05	0.001
1998.07	0.417639	-3.87994e-06	3.12566	-0.655574	-1.24514	0.00239441	-0.05	0.001
2194.5	3.1849	3.96407e-06	-0.0167812	-0.685217	0.190887	0.000313982	-0.05	0.001
2198.71	1.07841	-5.38986e-06	3.12446	1.03585	-0.522543	0.000927293	-0.05	0.001
2397.75	0.336889	5.92927e-06	-0.0184593	0.430398	1.3664	0.00296834	-0.05	0.001
2597.62	0.325959	-3.82912e-06	3.12003	-0.371779	-1.38677	0.00306787	-0.05	0.001
2796.84	0.912194	9.46551e-06	-0.0230232	-1.05495	0.614115	0.00109626	-0.05	0.001
2803.12	4.54828	-5.0733e-07	3.11819	0.559687	-0.136808	0.000219863	-0.05	0.001
2997.32	0.442116	3.69397e-07	-0.0241763	0.709565	1.20556	0.00226185	-0.05	0.001
3197.09	0.328097	-5.29696e-06	3.1151	-0.162637	-1.42589	0.00304788	-0.05	0.001
3396.59	0.664629	1.54794e-06	-0.0281662	-0.998026	0.857908	0.0015046	-0.05	0.001
3432.05	13.9546	-3.76484e-06	3.11296	0.201999	-0.0473621	7.1661e-05	-0.05	0.001
3596.86	0.527949	6.66448e-07	-0.0292374	0.847573	1.07401	0.00189412	-0.05	0.001
3796.53	0.339654	-1.85183e-06	3.11047	-0.0522474	-1.43081	0.00294418	-0.05	0.001
3996.1	0.60156	6.63588e-06	-0.0328302	-0.936317	0.959178	0.00166234	-0.05	0.001
4082.74	19.5243	-4.3886e-06	3.10825	0.0339695	-0.0343759	5.12181e-05	-0.05	0.001
4196.35	0.579275	5.67082e-07	-0.0338843	0.910112	0.99562	0.0017263	-0.05	0.001
4395.95	0.342113	-4.44148e-06	3.10597	0.0149781	-1.43096	0.00292301	-0.05	0.001
4595.58	0.557963	7.18215e-06	-0.0374085	-0.884959	1.02869	0.00179223	-0.05	0.001
4733.63	17.8982	-4.82182e-06	3.10362	-0.101084	-0.0373441	5.58716e-05	-0.05	0.001
4795.83	0.624776	4.8253e-06	-0.0384672	0.96223	0.920326	0.00160057	-0.05	0.001
4995.38	0.335217	-2.61204e-06	3.10143	0.0949908	-1.42992	0.00298314	-0.05	0.001
5195.09	0.492868	3.56296e-06	-0.0421952	-0.797837	1.1272	0.00202894	-0.05	0.001
5378.29	9.18836	-1.89996e-06	3.09874	-0.334265	-0.0705219	0.000108833	-0.05	0.001
5395.41	0.731793	2.41377e-06	-0.0432891	1.03413	0.771066	0.00136651	-0.05	0.001
5594.83	0.322249	-3.71875e-06	3.09668	0.247294	-1.41536	0.00310319	-0.05	0.001
5794.65	0.389588	2.00448e-06	-0.0476057	-0.592127	1.28666	0.00256682	-0.05	0.001
5992.45	2.1768	-3.01622e-06	3.09302	-0.824695	-0.271251	0.00045939	-0.05	0.001
5995.61	1.38017	1.21482e-06	-0.0489023	0.977926	0.413671	0.000724549	-0.05	0.001
6194.33	0.354787	-4.69402e-06	3.09152	0.498493	-1.33736	0.0028186	-0.05	0.001
6394.19	0.319801	5.99142e-06	-0.0530683	-0.312831	1.40305	0.00312695	-0.05	0.001
6593.53	0.801004	-3.95851e-06	3.08695	-1.05241	-0.698454	0.00124843	-0.05	0.001
6603.8	6.56273	1.71618e-06	-0.0550528	0.439064	0.0967219	0.000152376	-0.05	0.001
6793.91	0.466715	-1.24233e-06	3.08583	0.760035	-1.16418	0.00214263	-0.05	0.001
6993.65	0.328747	6.81337e-06	-0.0579592	-0.119555	1.42995	0.00304185	-0.05	0.001
7193.19	0.628471	-5.18394e-06	3.0819	-0.972905	-0.906945	0.00159116	-0.05	0.001
7249.5	17.2511	2.21503e-06	-0.0601831	0.119622	0.0384664	5.79675e-05	-0.05	0.001
7393.44	0.549177	-3.90114e-06	3.08084	0.882602	-1.03505	0.00182091	-0.05	0.001
7593.08	0.336012	4.70681e-07	-0.0626083	-0.00854222	1.43281	0.00297608	-0.05	0.001
7792.71	0.560952	-1.38661e-06	3.07716	-0.897407	-1.01635	0.00178268	-0.05	0.001
7923.78	18.5336	3.05303e-06	-0.0649886	-0.0806577	0.0359028	5.39561e-05	-0.05	0.001
7992.96	0.61411	-5.66839e-06	3.0761	0.95868	-0.929927	0.00162837	-0.05	0.001
8192.52	0.330899	1.92706e-06	-0.0672354	0.095386	1.43115	0.00302207	-0.05	0.001
8392.23	0.484457	-4.69996e-06	3.07226	-0.790082	-1.13633	0.00206416	-0.05	0.001
8577.72	8.39699	6.40938e-07	-0.070013	-0.36202	0.0765867	0.00011909	-0.05	0.001
8592.57	0.74709	-8.59658e-06	3.07115	1.0413	-0.751222	0.00133853	-0.05	0.001
8791.97	0.319408	1.07472e-06	-0.0720712	0.269572	1.41211	0.00313079	-0.05	0.001
8991.81	0.374432	-3.78416e-06	3.06669	-0.556319	-1.30777	0.00267071	-0.05	0.001
9190.07	1.79226	3.94025e-06	-0.0759467	-0.894195	0.324306	0.000557956	-0.05	0.001
9193.04	1.62949	-1.68116e-07	3.06532	0.926485	-0.354176	0.000613688	-0.05	0.001
9391.48	0.367124	7.63398e-06	-0.0773589	0.536829	1.31835	0.00272388	-0.05	0.001
9591.33	0.318776	-7.06719e-06	3.06133	-0.283002	-1.40966	0.003137	-0.05	0.001
9790.72	0.760424	8.71809e-06	-0.0818784	-1.04533	0.736642	0.00131506	-0.05	0.001
9804.09	7.84343	-5.29256e-06	3.05929	0.383123	-0.0816506	0.000127495	-0.05	0.001
9991.06	0.479102	3.86179e-06	-0.082988	0.782577	1.14383	0.00208724	-0.05	0.001
10190.8	0.329504	-7.62124e-06	3.05647	-0.100144	-1.43123	0.00303487	-0.05	0.001
10390.3	0.614414	7.37959e-06	-0.0868716	-0.960681	0.927691	0.00162757	-0.05	0.001
10458.5	18.45	-2.1336e-06	3.05421	0.0835748	-0.0360116	5.42004e-05	-0.05	0.001
10590.6	0.559328	9.18181e-07	-0.087939	0.897344	1.01722	0.00178786	-0.05	0.001
10790.2	0.334673	-4.09861e-06	3.05182	0.0104533	-1.43319	0.00298799	-0.05	0.001
10989.9	0.545002	3.20356e-06	-0.091647	-0.879109	1.04006	0.00183486	-0.05	0.001
11137.3	16.8082	-1.53763e-06	3.04937	-0.131454	-0.0393928	5.94948e-05	-0.05	0.001
11190.1	0.632357	4.87066e-06	-0.0927181	0.977904	0.89934	0.00158139	-0.05	0.001
11389.7	0.326983	-4.54076e-06	3.04714	0.129643	-1.42959	0.00305827	-0.05	0.001
11589.4	0.457937	4.17865e-06	-0.0966994	-0.745478	1.17721	0.00218371	-0.05	0.001
11781.1	5.82277	-7.93818e-06	3.04416	-0.477529	-0.108204	0.000171739	-0.05	0.001
11789.8	0.831847	4.27812e-06	-0.0978318	1.05577	0.671474	0.00120214	-0.05	0.001
11989.1	0.320308	-9.47253e-06	3.04221	0.334437	-1.39791	0.00312199	-0.05	0.001
12189	0.345583	3.8673e-06	-0.102458	-0.469639	1.35069	0.00289366	-0.05	0.001
12387.9	1.22732	-2.74421e-06	3.03789	-1.00916	-0.461586	0.000814783	-0.05	0.001
12391.4	2.56357	3.18165e-06	-0.104038	0.76471	0.233118	0.000390081	-0.05	0.001
